function,mode,order,nodes_including_terminals
parity,File,0 1 2 3 4 5 6 7,17
parity,RFile,7 6 5 4 3 2 1 0,17
parity,DFS,7 6 5 4 3 2 1 0,17
parity,RDFS,0 1 2 3 4 5 6 7,17
mux,File,0 1 2 3 4 5 6 7,9
mux,RFile,7 6 5 4 3 2 1 0,31
mux,DFS,1 0 5 4 3 2 7 6,9
mux,RDFS,6 7 2 3 4 5 0 1,31
adder_lsb,File,0 1 2 3 4 5 6 7,7
adder_lsb,RFile,7 6 5 4 3 2 1 0,7
adder_lsb,DFS,4 2 0 7 6 5 3 1,7
adder_lsb,RDFS,1 3 5 6 7 0 2 4,7
majority,File,0 1 2 3 4 5 6 7,22
majority,RFile,7 6 5 4 3 2 1 0,22
majority,DFS,7 6 5 4 3 2 1 0,22
majority,RDFS,0 1 2 3 4 5 6 7,22
random,File,0 1 2 3 4 5 6 7,72
random,RFile,7 6 5 4 3 2 1 0,75
random,DFS,4 1 6 2 7 3 0 5,73
random,RDFS,5 0 3 7 2 6 1 4,74
