n,function,order,robdd_nodes,fdd_nodes,ratio_fdd_over_robdd,robdd_runtime_ms,fdd_runtime_ms
4,parity,File,9,6,0.6666666666666666,0.0179,0.054663
4,parity,RFile,9,6,0.6666666666666666,0.012016,0.046935
4,mux,File,7,7,1.0,0.010794,0.067372
4,mux,RFile,10,7,0.7,0.013284,0.060273
4,adder_lsb,File,7,5,0.7142857142857143,0.0092,0.036512
4,adder_lsb,RFile,7,5,0.7142857142857143,0.009146,0.035491
4,majority,File,8,8,1.0,0.010284,0.063324
4,majority,RFile,8,8,1.0,0.009716,0.062188
4,random,File,9,7,0.7777777777777778,0.012616,0.072457
4,random,RFile,11,7,0.6363636363636364,0.014309,0.071742
5,parity,File,11,7,0.6363636363636364,0.018677,0.06778
5,parity,RFile,11,7,0.6363636363636364,0.016255,0.065906
5,mux,File,8,8,1.0,0.016576,0.122581
5,mux,RFile,17,9,0.5294117647058824,0.025595,0.140166
5,adder_lsb,File,7,5,0.7142857142857143,0.011612,0.033069
5,adder_lsb,RFile,7,5,0.7142857142857143,0.011912,0.041433
5,majority,File,11,11,1.0,0.016889,0.15272
5,majority,RFile,11,11,1.0,0.016367,0.152333
5,random,File,16,15,0.9375,0.024697,0.222644
5,random,RFile,16,13,0.8125,0.025284,0.234706
6,parity,File,13,8,0.6153846153846154,0.027191,0.094406
6,parity,RFile,13,8,0.6153846153846154,0.024788,0.091853
6,mux,File,9,9,1.0,0.027573,0.216762
6,mux,RFile,31,11,0.3548387096774194,0.056308,0.339648
6,adder_lsb,File,7,5,0.7142857142857143,0.02061,0.054825
6,adder_lsb,RFile,7,5,0.7142857142857143,0.019103,0.055883
6,majority,File,14,14,1.0,0.027413,0.255732
6,majority,RFile,14,14,1.0,0.030089,0.252526
6,random,File,26,24,0.9230769230769231,0.053564,0.682542
6,random,RFile,28,24,0.8571428571428571,0.05283,0.665164
7,parity,File,15,9,0.6,0.041516,0.127673
7,parity,RFile,15,9,0.6,0.039479,0.123015
7,mux,File,9,9,1.0,0.04255,0.237098
7,mux,RFile,31,11,0.3548387096774194,0.063108,0.35749
7,adder_lsb,File,7,5,0.7142857142857143,0.031948,0.064535
7,adder_lsb,RFile,7,5,0.7142857142857143,0.027532,0.067541
7,majority,File,18,18,1.0,0.046216,0.470228
7,majority,RFile,18,18,1.0,0.044718,0.46481
7,random,File,46,41,0.8913043478260869,0.096733,2.37307
7,random,RFile,43,37,0.8604651162790697,0.094518,2.219548
8,parity,File,17,10,0.5882352941176471,0.066351,0.17453
8,parity,RFile,17,10,0.5882352941176471,0.061246,0.171287
8,mux,File,9,9,1.0,0.073161,0.286572
8,mux,RFile,31,11,0.3548387096774194,0.078006,0.377454
8,adder_lsb,File,7,5,0.7142857142857143,0.054631,0.086347
8,adder_lsb,RFile,7,5,0.7142857142857143,0.043247,0.087578
8,majority,File,22,22,1.0,0.074828,0.713559
8,majority,RFile,22,22,1.0,0.074321,0.705581
8,random,File,74,67,0.9054054054054054,0.184054,9.576052
8,random,RFile,75,68,0.9066666666666666,0.182819,9.454299
9,parity,File,19,11,0.5789473684210527,0.114599,0.24361
9,parity,RFile,19,11,0.5789473684210527,0.10756,0.234209
9,mux,File,9,9,1.0,0.124101,0.381347
9,mux,RFile,31,11,0.3548387096774194,0.107097,0.421457
9,adder_lsb,File,7,5,0.7142857142857143,0.103815,0.142943
9,adder_lsb,RFile,7,5,0.7142857142857143,0.083985,0.133663
9,majority,File,27,27,1.0,0.142448,1.308633
9,majority,RFile,27,27,1.0,0.138082,1.265515
9,random,File,127,118,0.9291338582677166,0.358697,35.59522
9,random,RFile,126,118,0.9365079365079365,0.355665,35.310591
10,parity,File,21,12,0.5714285714285714,0.208447,0.353096
10,parity,RFile,21,12,0.5714285714285714,0.211215,0.361709
10,mux,File,9,9,1.0,0.224086,0.551399
10,mux,RFile,31,11,0.3548387096774194,0.163255,0.468293
10,adder_lsb,File,7,5,0.7142857142857143,0.191888,0.231223
10,adder_lsb,RFile,7,5,0.7142857142857143,0.141777,0.193404
10,majority,File,32,32,1.0,0.249313,1.899453
10,majority,RFile,32,32,1.0,0.247069,1.90746
10,random,File,240,215,0.8958333333333334,0.737015,190.050948
10,random,RFile,236,211,0.8940677966101694,0.732133,180.493094
