name,size,clues,variant,trial,wall_sec,nvars,nclauses,conflicts_progress_max,propagations,decisions,starts,sat
N16_sat_clues32_t0,16,32,SAT,0,0.064377,4096,123936,10,4640,364,1,True
N16_unsat_clues32_t0,16,32,UNSAT,0,0.047189,4096,123936,0,6,0,0,False
N16_sat_clues32_t1,16,32,SAT,1,0.049127,4096,123936,2,4154,329,1,True
N16_unsat_clues32_t1,16,32,UNSAT,1,0.047945,4096,123936,0,31,0,0,False
N16_sat_clues32_t2,16,32,SAT,2,0.048141,4096,123936,32,5709,415,1,True
N16_unsat_clues32_t2,16,32,UNSAT,2,0.046906,4096,123936,0,17,0,0,False
N16_sat_clues32_t3,16,32,SAT,3,0.052884,4096,123936,7,4963,465,1,True
N16_unsat_clues32_t3,16,32,UNSAT,3,0.047012,4096,123936,0,25,0,0,False
N16_sat_clues32_t4,16,32,SAT,4,0.048835,4096,123936,5,4319,410,1,True
N16_unsat_clues32_t4,16,32,UNSAT,4,0.045327,4096,123936,0,1,0,0,False
N16_sat_clues64_t0,16,64,SAT,0,0.048647,4096,123968,0,4096,152,1,True
N16_unsat_clues64_t0,16,64,UNSAT,0,0.052227,4096,123968,0,2,0,0,False
N16_sat_clues64_t1,16,64,SAT,1,0.050027,4096,123968,4,4510,185,1,True
N16_unsat_clues64_t1,16,64,UNSAT,1,0.045167,4096,123968,0,1,0,0,False
N16_sat_clues64_t2,16,64,SAT,2,0.050641,4096,123968,22,6711,176,1,True
N16_unsat_clues64_t2,16,64,UNSAT,2,0.044904,4096,123968,0,54,0,0,False
N16_sat_clues64_t3,16,64,SAT,3,0.049785,4096,123968,2,4528,203,1,True
N16_unsat_clues64_t3,16,64,UNSAT,3,0.047500,4096,123968,0,57,0,0,False
N16_sat_clues64_t4,16,64,SAT,4,0.048292,4096,123968,10,4544,185,1,True
N16_unsat_clues64_t4,16,64,UNSAT,4,0.047983,4096,123968,0,60,0,0,False
N16_sat_clues96_t0,16,96,SAT,0,0.048534,4096,124000,3,4352,66,1,True
N16_unsat_clues96_t0,16,96,UNSAT,0,0.047211,4096,124000,0,90,0,0,False
N16_sat_clues96_t1,16,96,SAT,1,0.050258,4096,124000,6,4717,76,1,True
N16_unsat_clues96_t1,16,96,UNSAT,1,0.046986,4096,124000,0,30,0,0,False
N16_sat_clues96_t2,16,96,SAT,2,0.048585,4096,124000,7,5363,55,1,True
N16_unsat_clues96_t2,16,96,UNSAT,2,0.047301,4096,124000,0,13,0,0,False
N16_sat_clues96_t3,16,96,SAT,3,0.049246,4096,124000,30,7502,101,1,True
N16_unsat_clues96_t3,16,96,UNSAT,3,0.045297,4096,124000,0,68,0,0,False
N16_sat_clues96_t4,16,96,SAT,4,0.052177,4096,124000,2,4323,60,1,True
N16_unsat_clues96_t4,16,96,UNSAT,4,0.048161,4096,124000,0,39,0,0,False
N16_sat_clues128_t0,16,128,SAT,0,0.047321,4096,124032,0,4096,2,1,True
N16_unsat_clues128_t0,16,128,UNSAT,0,0.047444,4096,124032,0,6,0,0,False
N16_sat_clues128_t1,16,128,SAT,1,0.054069,4096,124032,0,4096,13,1,True
N16_unsat_clues128_t1,16,128,UNSAT,1,0.053518,4096,124032,0,38,0,0,False
N16_sat_clues128_t2,16,128,SAT,2,0.048108,4096,124032,0,4096,12,1,True
N16_unsat_clues128_t2,16,128,UNSAT,2,0.051100,4096,124032,0,88,0,0,False
N16_sat_clues128_t3,16,128,SAT,3,0.048993,4096,124032,0,4096,7,1,True
N16_unsat_clues128_t3,16,128,UNSAT,3,0.045589,4096,124032,0,34,0,0,False
N16_sat_clues128_t4,16,128,SAT,4,0.046888,4096,124032,0,4096,11,1,True
N16_unsat_clues128_t4,16,128,UNSAT,4,0.053897,4096,124032,0,102,0,0,False
