name,clues,sat,wall_sec,nvars,nclauses,conflicts_progress_max,propagations,decisions,starts
sudoku_easy_sat,81,True,0.084578,729,12069,0,729,1,1
sudoku_hard_sat,30,True,0.023181,729,12018,0,729,1,1
sudoku_unsat_conflict,30,False,0.023458,729,12018,0,1,0,0
db_0000_clues17,17,True,0.023611,729,12005,8,1418,27,1
db_0001_clues17,17,True,0.023165,729,12005,7,1440,36,1
db_0002_clues17,17,True,0.025814,729,12005,8,1561,23,1
db_0003_clues17,17,True,0.024094,729,12005,18,2041,55,1
db_0004_clues17,17,True,0.025047,729,12005,4,874,15,1
db_0005_clues17,17,True,0.025578,729,12005,4,939,18,1
db_0006_clues17,17,True,0.023089,729,12005,9,1247,18,1
db_0007_clues17,17,True,0.022582,729,12005,5,1208,30,1
db_0008_clues17,17,True,0.031363,729,12005,9,1286,18,1
db_0009_clues17,17,True,0.023679,729,12005,21,2730,52,1
db_0010_clues17,17,True,0.074634,729,12005,12,1437,31,1
db_0011_clues25,25,True,0.022876,729,12013,4,952,10,1
db_0012_clues21,21,True,0.021972,729,12009,11,1529,24,1
db_0013_clues17,17,True,0.021005,729,12005,11,1522,46,1
db_0014_clues17,17,True,0.022755,729,12005,6,1166,16,1
db_0015_clues17,17,True,0.020436,729,12005,21,1694,33,1
db_0016_clues22,22,True,0.021833,729,12010,3,970,14,1
db_0017_clues17,17,True,0.021625,729,12005,3,996,21,1
db_0018_clues23,23,True,0.020988,729,12011,6,1134,21,1
db_0019_clues25,25,True,0.023208,729,12013,22,2042,30,1
db_0020_clues17,17,True,0.021382,729,12005,8,1306,42,1
db_0021_clues24,24,True,0.023928,729,12012,11,1175,16,1
db_0022_clues17,17,True,0.025679,729,12005,9,1634,24,1
db_0023_clues23,23,True,0.023261,729,12011,2,814,9,1
db_0024_clues23,23,True,0.023808,729,12011,4,852,14,1
db_0025_clues17,17,True,0.021399,729,12005,12,1726,30,1
db_0026_clues17,17,True,0.022210,729,12005,5,1084,29,1
db_0027_clues17,17,True,0.021118,729,12005,4,933,18,1
db_0028_clues22,22,True,0.021461,729,12010,3,876,9,1
db_0029_clues17,17,True,0.021112,729,12005,26,2454,113,1
db_0030_clues21,21,True,0.020930,729,12009,7,1116,16,1
db_0031_clues24,24,True,0.027954,729,12012,6,1054,18,1
db_0032_clues24,24,True,0.023936,729,12012,9,1156,26,1
db_0033_clues17,17,True,0.024311,729,12005,12,1402,30,1
db_0034_clues22,22,True,0.021179,729,12010,18,2550,22,1
db_0035_clues17,17,True,0.021919,729,12005,3,964,18,1
db_0036_clues17,17,True,0.023379,729,12005,6,1164,16,1
db_0037_clues21,21,True,0.022100,729,12009,5,997,12,1
db_0038_clues22,22,True,0.022313,729,12010,9,1640,23,1
db_0039_clues24,24,True,0.026188,729,12012,15,1717,25,1
db_0040_clues17,17,True,0.022428,729,12005,0,729,5,1
db_0041_clues17,17,True,0.024144,729,12005,8,1409,23,1
db_0042_clues24,24,True,0.027222,729,12012,3,951,12,1
db_0043_clues23,23,True,0.028754,729,12011,5,975,18,1
db_0044_clues23,23,True,0.024747,729,12011,7,1346,24,1
db_0045_clues17,17,True,0.025241,729,12005,2,868,10,1
db_0046_clues21,21,True,0.024385,729,12009,3,1018,23,1
db_0047_clues22,22,True,0.025433,729,12010,8,1470,21,1
db_0048_clues17,17,True,0.027680,729,12005,20,2095,56,1
db_0049_clues17,17,True,0.023412,729,12005,4,998,19,1
db_0050_clues24,24,True,0.022873,729,12012,0,729,7,1
db_0051_clues22,22,True,0.024324,729,12010,17,2136,38,1
db_0052_clues26,26,True,0.023742,729,12014,5,1020,10,1
db_0053_clues25,25,True,0.022754,729,12013,33,3428,41,1
db_0054_clues23,23,True,0.023953,729,12011,2,796,8,1
db_0055_clues25,25,True,0.021772,729,12013,13,1657,30,1
